RefSeq-Accn	Assigned-Molecule	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	California-CA	Wisconsin-WI	Hokkaido-HK	Jena-JN	Kanazawa-KZ	Montpelier-MT	Trento-TR
NW_023496826.1	3R	44.8968	33.7452	43.3481	25.0215	34.3069	29.8902	33.482	35.0708	34.6934	31.7285	39.9395	23.0453	32.6007	35.0456	22.0854	33.6568	40.0223	33.6702	43.5204	32.0899	27.4345	25.3451	19.8779	16.8325	40.8928	17.8619	47.1911	46.5139	37.8455
NW_023496806.1	2R	48.3592	47.7493	42.8997	42.1563	56.3785	45.9258	52.643	43.9719	54.3356	41.8527	58.5143	43.2197	54.3511	43.0069	37.5897	47.4863	56.1162	39.1145	51.587	50.9021	42.1415	52.0323	25.45	19.7318	58.9278	21.1649	49.4626	47.335	73.854
NW_023496820.1	3R	27.4272	24.7147	25.8577	18.5157	26.3424	23.5229	25.7204	23.8044	24.5832	24.1192	32.4903	17.6363	25.2586	23.0527	15.8064	25.2668	33.5106	22.7771	30.3798	25.3861	19.0759	21.7511	13.4977	10.6152	34.534	9.66299	31.3902	37.2176	35.3231
NW_023496811.1	3L	18.7447	17.531	19.229	16.0686	22.7343	17.1704	18.1719	18.5099	19.801	16.4036	21.8687	16.0362	22.0851	16.6851	13.286	17.1233	27.696	17.7395	24.8711	23.5014	19.7245	16.8223	14.0104	7.47793	23.018	8.9258	20.3318	20.1067	25.3846
NW_023496821.1	3R	29.6811	29.2784	30.5742	18.159	25.2794	26.6536	28.4082	28.2512	30.5723	34.3094	46.0378	17.9365	31.1955	30.3071	16.1077	34.8008	38.1937	30.6686	41.7913	30.5643	23.4642	24.9571	15.5967	13.339	47.4503	13.2451	46.6155	45.9395	37.9027
NW_023496802.1	2L	36.6528	42.0679	34.8235	37.2184	51.0299	38.1388	45.6438	36.1824	47.6537	35.5249	52.4975	38.2067	46.0076	35.6551	32.7041	42.8831	43.3415	30.53	42.6934	43.5805	35.0025	45.4911	27.2296	21.29	58.8254	30.1532	58.5996	60.0018	74.8463
NW_023496801.1	2L	38.4819	42.5449	37.1277	36.0431	48.5152	39.7254	46.4298	36.6456	47.3742	36.6074	52.5616	37.1685	46.2399	35.9154	32.8592	42.0171	41.3809	32.7817	44.1768	42.9463	35.1507	45.5269	22.5263	14.5595	49.5806	18.4116	48.1703	50.1422	67.3705
NW_023496818.1	3R	56.6979	42.718	53.9932	40.2637	56.0233	46.0407	48.0041	46.3342	49.1271	42.2435	53.5154	38.4636	47.4663	45.5804	35.5942	41.4774	58.6635	42.1557	55.6444	46.3864	45.4052	43.1533	28.2685	22.7002	58.5532	25.0654	64.5149	67.5816	66.5312
NW_023496805.1	2R	30.2477	32.5978	28.6214	30.1393	41.2943	32.2471	34.3408	29.0294	36.5059	28.6916	40.3712	32.2371	37.281	26.4313	27.2289	31.0237	33.7121	28.0674	33.7479	35.1927	28.9979	36.4132	17.3445	12.3539	39.7591	15.6468	38.5502	40.5153	53.9553
NW_023496804.1	2R	39.9293	40.2786	38.0583	35.6301	48.3219	38.5587	43.9285	37.58	43.2938	37.318	49.8603	34.7402	44.1531	37.1295	31.0172	39.4406	49.8919	32.1008	44.5509	41.9872	35.0986	42.58	27.0047	19.3093	51.963	26.161	56.556	53.7341	66.9294
NW_023496854.1	na	27.0408	31.4763	25.2224	27.0549	36.7821	28.5314	33.844	27.2002	35.4202	28.0244	39.1623	28.2376	35.7854	26.214	24.5414	31.8028	29.6384	25.3571	32.1685	32.8619	25.8227	34.2124	17.519	11.5174	38.4859	17.0909	41.5823	42.0864	52.461
NW_023496855.1	na	23.9629	26.3996	21.9893	23.8554	30.4294	22.0719	30.1809	25.4056	36.1567	22.0403	34.8804	26.4993	29.8458	23.1038	22.2742	26.9763	22.267	19.5645	27.3174	29.3387	25.4059	29.679	12.6756	10.7998	25.7776	19.2261	33.3702	29.4388	38.5468
NW_023496848.1	na	38.8829	40.837	34.2714	35.4668	47.4392	38.7442	44.3911	37.6636	46.4237	36.0756	51.0493	36.7662	45.7171	34.5706	31.8502	40.7386	39.7027	34.1859	43.9014	42.853	35.0089	45.2431	22.6337	16.0362	48.4492	21.1991	51.8129	55.1846	65.4128
NW_023496856.1	na	37.4488	37.1712	35.4776	31.4031	42.9238	35.4564	39.7423	34.7501	39.8181	33.9064	44.6112	31.2037	40.9996	34.0401	27.0821	35.5226	43.4082	32.1872	41.8735	38.9815	33.1627	37.8313	24.3861	15.8591	46.0953	20.4686	51.5381	51.3043	59.0105
NW_023496851.1	na	51.7559	46.971	47.1276	41.9959	55.7721	46.2721	51.5116	46.2011	50.8217	43.0475	56.8038	40.5109	51.2982	44.7695	35.4338	45.4826	60.2655	40.5241	55.203	50.7619	43.1518	49.3384	30.4492	21.4558	58.6653	26.8682	60.1867	57.8299	73.4085
NW_023496849.1	na	37.4365	42.883	34.1654	35.6896	50.3717	38.1355	44.6446	38.7072	51.333	37.3866	51.3715	38.4563	50.1791	33.3759	35.8076	39.1309	36.5962	34.5051	41.3957	47.4189	39.314	46.7298	23.9317	21.2457	45.8833	31.7496	56.7127	55.9111	64.4363
NW_023496852.1	na	38.6722	40.1944	35.361	34.6785	46.9445	38.4397	43.8089	36.598	44.7426	36.3213	50.8733	35.7014	44.8606	35.0928	30.8876	39.9399	44.7126	33.0619	43.5339	42.3431	34.741	43.8064	24.9942	17.4659	48.9043	23.5016	53.9576	54.3084	63.5995
NW_023496858.1	na	35.4072	37.4901	32.7772	32.2347	40.1268	35.5359	40.5701	35.9341	46.0184	32.0566	46.5688	34.3814	41.0191	31.598	29.7413	36.919	34.5958	31.8478	40.0414	38.6423	34.4097	42.1701	20.5241	17.3482	42.1293	26.5637	48.3587	51.7398	54.7587
NW_023496857.1	na	30.6433	37.7567	29.6712	27.0763	35.238	34.3967	36.3324	32.3626	42.6894	28.0345	41.6	29.4763	39.8954	28.2606	24.7328	33.5241	31.2467	28.6135	34.6279	37.6791	32.5563	37.628	19.4862	14.4514	35.9319	20.2579	40.5638	47.7252	52.8379
NW_023496815.1	3L	27.915	21.9293	27.8436	20.243	27.8767	22.1819	24.0296	23.523	24.5378	20.6961	25.7749	19.2702	23.8738	25.7089	17.9155	24.843	30.3752	23.8994	38.9641	24.8602	25.5313	20.9083	13.6727	11.1619	28.5569	10.4437	28.0293	31.0551	31.767
NW_023496853.1	na	58.161	47.8395	51.136	44.6352	59.4285	47.8002	53.15	49.5397	51.1785	45.6364	57.9138	41.4823	52.5397	48.6544	37.0225	45.9204	62.7147	43.4084	57.5465	51.5586	44.7096	49.2013	32.0261	22.6162	60.3583	26.653	61.4642	60.6529	73.9387
NW_023496850.1	na	49.4762	45.2542	45.521	41.2769	54.5702	43.4676	49.0416	46.2292	52.0802	40.4003	54.0209	40.0531	49.4797	42.2276	34.913	44.1549	57.6641	37.8754	51.6301	48.4382	43.4697	48.6082	29.8785	20.382	55.6144	28.5178	61.273	59.6755	70.6523
NW_023496861.1	na	6.93802	11.2737	8.70587	7.25242	9.02206	8.59014	9.73533	8.72911	11.1919	10.9318	12.7909	7.20954	16.1413	9.80006	6.78929	11.7652	12.0276	12.2593	13.1543	14.405	12.4355	8.71049	8.29359	6.14181	14.174	5.77587	15.8952	13.7742	12.9172
NW_023496809.1	2R	31.6028	35.8966	28.9711	30.133	39.5842	33.0517	38.4145	31.4349	40.6796	31.2846	44.9875	31.6215	39.8466	29.8208	27.7603	35.9283	32.8834	29.4705	37.8818	36.7812	29.7626	39.405	20.4583	14.3274	40.4569	21.5534	45.9739	46.5862	55.655
NW_023496863.1	na	8.27227	12.1205	9.45751	7.8794	9.95861	9.45828	10.9963	9.96907	13.0489	11.1664	13.6777	8.08156	16.8497	10.7264	7.48962	12.5472	12.9806	12.5477	14.0749	15.0103	13.2429	10.0589	8.49572	6.21207	14.6144	6.70779	16.1517	14.9524	14.6082
NW_023496862.1	na	16.391	17.1888	14.7934	15.4837	21.5839	16.6969	18.9668	15.6948	19.5192	15.5562	22.1076	16.8475	19.154	15.8242	14.3123	17.7989	16.3049	14.269	17.9465	18.223	14.4634	19.5148	10.141	6.72438	21.6286	9.7151	23.2062	23.3736	28.5818
NW_023496847.1	X	50.5793	38.6204	45.4396	29.1875	57.0248	41.7574	27.3917	41.5329	35.8281	40.2653	29.6809	23.5474	41.6546	28.1253	37.5012	27.9916	45.1734	38.6015	48.7927	41.3769	38.241	34.3249	31.1258	25.3659	39.6897	28.5561	52.0506	65.8935	48.7031
NW_023496864.1	na	28.6169	32.6489	26.2189	26.6959	37.5017	30.5177	34.9533	27.7521	33.06	28.7005	39.0257	27.6879	36.2437	26.927	23.894	31.7269	32.8799	26.1698	34.6104	33.1436	24.9373	35.2624	20.4773	12.7272	42.7991	20.7273	49.0843	50.7353	57.2595
NW_023496859.1	na	55.7664	50.8344	49.2288	43.8009	59.6598	48.7311	54.1883	48.3626	53.8754	45.4224	60.2352	42.9278	54.6509	46.3112	36.8827	48.8306	64.1299	42.3281	58.8041	52.7955	45.2579	53.4943	33.994	23.1011	64.0545	28.3768	68.8543	68.3001	81.6583
NW_023496865.1	na	37.3474	42.4696	34.5633	35.4845	46.8709	39.8962	45.1642	36.9367	47.8817	36.7144	53.6728	37.5639	47.0262	35.2956	32.2325	42.6718	38.3519	33.6755	44.0352	43.596	35.3039	47.3136	23.3803	16.5112	46.8735	22.7521	50.3998	53.9299	64.5042
NW_023496868.1	na	27.5697	30.531	26.5336	25.2163	33.8522	28.2722	32.7012	27.517	35.1344	27.4602	37.8689	25.6822	35.9268	26.9647	22.4431	31.0054	29.416	26.9997	34.1642	33.4357	27.5141	32.0041	17.1738	12.8702	35.3219	14.2675	34.8213	36.6431	45.4665
NW_023496872.1	na	36.2835	35.8708	34.8675	31.1577	41.3727	35.051	39.1378	34.2211	39.697	32.1428	42.7727	30.4859	40.2235	33.8255	26.8568	35.7421	44.7826	30.1642	42.0349	38.6379	33.3228	37.602	22.7342	16.1556	48.8206	20.2607	45.2594	47.0273	57.8956
NW_023496874.1	na	16.3437	18.4278	15.8567	15.9852	21.4428	17.5561	19.9044	17.2087	21.6759	16.2096	22.8077	16.4355	21.2098	16.029	14.3034	18.9323	17.499	16.0101	20.6251	19.6437	16.5247	20.4332	10.2278	7.40743	21.7813	9.70781	21.0225	22.1139	28.3476
NW_023496871.1	na	36.4456	39.6236	33.0801	33.2733	44.7651	36.9298	42.551	34.8926	41.4973	34.808	48.6348	33.6342	43.8176	33.8833	29.2404	39.5165	42.8979	30.4014	42.0073	40.4866	32.2067	43.1071	25.9769	17.1233	51.6253	27.5257	61.8411	60.8201	66.6575
NW_023496866.1	na	37.1223	40.2082	35.2895	34.68	44.1457	38.4584	44.5396	38.1555	47.2498	35.8735	50.9371	36.6001	44.9759	34.9895	32.5379	40.955	40.9062	33.9171	44.6718	41.603	36.6064	44.3898	23.7899	18.7071	45.4103	28.3047	53.0169	53.8688	61.0934
NW_023496876.1	na	14.6746	17.1215	14.4653	13.0391	17.444	15.4553	17.6702	15.4137	19.3809	15.3117	20.8399	14.2726	20.6317	15.2062	12.1977	17.6829	16.8167	16.042	18.5632	18.7864	16.0332	17.7907	10.8123	7.42134	20.6755	9.32985	22.2865	22.6748	25.9239
NW_023496870.1	na	30.1452	33.7775	27.1639	28.2697	38.0853	31.6148	36.1064	30.2232	36.486	29.4305	40.5045	29.0483	37.614	28.0862	25.3068	32.5817	33.597	28.3014	34.3795	34.5268	27.1847	36.8606	22.0483	15.8567	40.0349	21.9252	49.7012	50.8489	54.6553
NW_023496867.1	na	39.5941	37.3278	37.5617	32.63	45.8604	37.0345	40.1401	36.7866	39.7822	35.4873	45.405	32.2486	41.1131	34.9539	28.5404	36.1867	47.746	32.6054	44.2901	39.9049	34.1471	38.4787	24.8066	17.732	47.6946	20.1567	48.8535	49.7371	59.9745
NW_023496832.1	3R	53.4286	45.9489	49.5347	41.8793	58.2167	47.1344	50.8754	47.214	51.8389	42.8806	56.629	41.2504	50.1023	44.6805	37.2617	44.269	59.2912	42.1778	56.4831	49.3594	44.8827	47.9346	28.4549	22.2147	60.9867	23.4882	63.5584	67.9583	73.1737
NW_023496803.1	2L	40.1003	42.4712	36.3214	34.8058	46.7492	38.6425	44.2377	38.6669	45.3933	37.2104	50.8633	35.1926	46.8656	36.9328	31.0856	42.0359	45.9231	34.742	44.0078	43.2794	36.258	44.2466	26.9572	19.1915	50.7139	28.4409	61.6059	61.298	65.3206
NW_023496873.1	na	41.6284	44.3223	36.1869	37.6949	47.8429	40.8596	47.7616	40.1841	51.3294	38.1129	55.2701	40.1914	48.7165	37.3301	34.0339	43.9507	40.0557	35.5601	46.1564	45.5774	38.1626	49.3494	22.7077	16.9589	47.8753	26.5894	52.664	53.1339	64.9397
NW_023496869.1	na	49.3184	48.3903	45.3712	42.0083	55.9694	47.4091	53.5086	46.4738	54.7155	43.4366	58.6243	42.0624	53.402	43.3067	37.3667	47.1399	53.7381	41.2512	54.8942	50.6249	43.8722	52.0467	27.8386	19.9896	56.4895	23.1507	53.8115	54.5053	71.7632
NW_023496879.1	na	29.9665	34.9335	28.0399	28.7117	38.9461	31.0626	36.6579	30.5915	41.7291	26.9969	42.948	32.5107	34.5838	25.7751	24.5261	32.2254	29.5364	22.0044	30.8852	32.0658	26.6588	40.2092	16.3605	11.1253	39.7989	21.8034	42.4197	44.3899	54.1649
NW_023496882.1	na	20.1374	19.3807	17.4758	12.4574	16.9089	17.9918	19.1035	18.8592	23.4727	13.1795	20.7574	13.3145	22.9896	14.8272	9.73857	17.8458	22.9229	17.2803	17.3676	23.6658	19.8814	19.0487	13.916	8.13893	19.5589	9.15523	18.727	24.0228	26.0036
NW_023496881.1	na	29.0703	31.9375	28.1353	27.6166	36.8545	30.5374	34.7061	29.403	34.9424	27.7456	39.27	28.3008	35.6965	26.5051	24.4563	31.2795	31.3086	26.7279	34.3155	32.7893	27.7953	34.5279	17.804	12.5556	36.984	16.3274	37.8138	40.9189	50.9838
NW_023496885.1	na	10.6817	9.94644	9.18745	9.28622	12.8308	10.3402	12.2314	10.1069	12.2839	8.37217	12.5419	9.91779	9.47246	8.57634	8.46686	9.86666	9.07108	7.24829	10.1561	9.44596	7.7674	12.8018	5.51562	3.82893	12.1717	6.65933	12.5089	13.593	19.9686
NW_023496886.1	na	21.026	24.0257	19.1109	21.3313	28.3379	19.791	26.2639	22.4286	33.382	20.0774	31.7743	24.1779	28.1767	20.4279	20.014	24.3128	20.4157	17.9427	24.1663	27.7798	23.8895	27.0495	13.9205	12.503	25.7935	25.3867	41.7875	36.0677	38.2754
NW_023496888.1	na	17.9172	18.9823	15.7726	16.3977	22.0327	18.2345	21.1597	17.2412	21.627	16.8734	23.5833	16.873	20.8318	15.9188	14.9103	18.8347	16.8251	15.8535	19.9072	19.4075	16.2449	21.324	10.6624	7.84841	20.7881	12.3235	23.722	25.2471	29.9421
NW_023496880.1	na	26.2405	28.5156	23.1414	26.0762	34.6236	23.2169	33.8655	26.9502	42.2051	24.6292	38.7056	31.3913	34.2128	25.7759	25.4281	31.4213	25.3878	21.9109	30.4214	33.44	29.4845	32.2142	12.7656	9.63095	25.1248	17.435	33.2358	24.373	35.393
NW_023496884.1	na	27.2954	28.6514	23.9471	25.7179	34.2642	25.5404	32.5317	27.1968	38.1283	24.7143	38.8921	28.4881	32.1596	24.8126	23.976	28.5758	24.6416	22.3379	31.2148	31.3257	26.3955	33.1301	14.5821	10.1777	29.2518	18.9653	35.5271	33.5326	42.2756
NW_023496878.1	na	35.527	39.6233	32.6366	33.4887	45.7984	37.4103	43.3413	35.1536	44.7811	35.1238	49.022	34.6922	44.4234	33.5366	30.755	39.9723	42.1152	31.3953	42.4548	40.6769	32.7753	43.5898	40.0505	16.5794	50.1636	22.2543	50.774	53.7165	64.8972
NW_023496889.1	na	52.0055	44.9066	49.221	41.5561	55.7528	45.865	49.9281	45.6618	49.3317	43.1564	54.7418	39.3565	50.103	44.2615	35.1292	43.0929	58.5233	40.0268	54.5741	49.0277	43.1722	46.7442	29.7554	22.254	55.1646	26.231	54.0329	55.4375	67.4579
NW_023496891.1	na	14.8093	11.6218	11.21	17.3419	23.8072	13.6975	16.6235	12.7123	15.9106	10.6204	18.615	19.8812	8.35122	11.4527	16.2327	12.7786	10.0412	6.29835	11.5547	9.3218	7.60654	18.1032	5.49058	3.44569	16.8009	9.75351	17.6746	20.382	27.5744
NW_023496883.1	na	33.9656	38.0815	31.1796	31.7493	42.2	35.2391	40.5483	33.7572	42.1817	33.0566	46.6966	33.1303	42.2728	32.6826	29.5948	37.7227	37.1963	30.7911	40.1764	38.7122	31.5948	41.6283	21.9454	15.7963	43.6647	21.3206	46.4262	48.093	58.3994
NW_023496887.1	na	29.7941	31.8669	26.3024	26.0271	33.5284	29.5445	34.4772	29.1135	37.2367	28.0745	39.3485	27.7037	34.6844	26.5979	24.0587	31.6903	27.6185	25.3143	32.1557	32.0627	27.7823	34.2774	17.6532	14.3317	34.6437	20.7037	40.4039	42.5918	48.6858
NW_023496890.1	na	35.7854	38.4	32.4398	32.5642	43.4861	36.1924	40.7321	34.5182	42.3462	32.9754	47.4112	33.829	41.7684	32.3646	30.657	37.4042	37.8058	31.2738	40.0159	38.9314	32.1529	41.9018	21.6576	14.7397	45.4408	20.8062	48.0616	49.1145	61.374
NW_023496834.1	3R	61.2291	43.9758	55.8536	40.0355	55.0536	44.8807	48.5442	47.6902	48.4268	43.2849	53.9876	36.7117	47.1498	48.6686	35.6219	41.8923	58.6342	45.5812	58.2805	47.0761	44.5751	40.1726	27.828	23.7184	57.4468	23.4365	64.2238	62.3068	59.0818
NW_023496901.1	na	15.0028	17.15	13.9552	14.3495	18.945	15.6335	17.8097	14.1934	17.4037	15.0845	21.1468	14.4436	18.8179	13.7817	11.6462	16.8813	17.2571	12.9544	17.0005	16.6848	12.8332	17.9661	9.86278	5.72898	24.0357	11.563	27.2192	27.927	30.4801
NW_023496895.1	na	28.7706	32.3344	28.262	27.8689	36.1294	30.8286	36.7283	29.0312	39.0139	28.1742	40.8874	29.4817	36.4984	25.6663	24.9015	31.4166	29.7794	26.4289	35.3905	34.3631	29.0099	36.9006	16.874	13.152	36.2706	18.1203	37.0112	39.3835	51.0354
NW_023496877.1	na	60.4147	62.9672	52.2158	55.8958	75.1524	53.7587	71.029	60.5102	87.384	53.5963	83.3591	65.0668	73.2371	57.8106	54.0697	70.9477	57.0792	48.553	68.4989	68.1839	60.8982	70.4492	31.4377	27.8616	65.7551	50.8212	92.0605	81.889	96.4897
NW_023496897.1	na	38.0548	39.414	34.3957	33.7155	44.3729	37.4752	42.7279	35.453	42.4167	34.3107	46.995	33.0215	43.6556	35.8901	28.5576	39.4726	45.4032	31.1401	41.4352	41.779	34.4585	41.0103	26.0522	18.3946	46.085	25.5105	55.1485	58.0747	62.3254
NW_023496896.1	na	30.4168	33.1765	25.7094	25.0809	34.9077	29.2901	31.4447	28.0126	36.3923	27.3331	41.5013	26.9857	38.6276	27.7065	22.2806	31.094	29.9348	25.7054	36.4849	36.2128	27.9606	35.8129	18.2606	12.6841	39.0586	20.3066	43.1916	43.8965	49.4767
NW_023496893.1	na	37.931	42.2435	34.242	36.146	46.1564	39.1474	45.8575	37.4586	49.2908	36.5746	53.5195	38.1245	47.537	35.3763	31.7743	43.3752	39.1825	32.9927	44.0692	43.4123	35.8936	47.5774	23.661	17.1244	50.0193	28.1882	62.8781	58.6075	67.7787
NW_023496903.1	na	24.2328	26.498	22.2896	22.5946	31.6673	25.4341	29.4543	23.624	30.7041	24.3408	34.0278	23.9078	29.9636	22.9596	21.2385	27.2168	25.9914	21.633	28.6263	27.1334	22.5507	29.4976	15.44	10.6152	34.7755	18.8492	38.7244	36.9436	44.0119
NW_023496892.1	na	45.7947	46.5088	36.9233	40.8397	52.3734	42.5198	50.4336	42.3055	48.6326	40.0085	57.8784	41.6529	51.031	40.1581	35.1207	46.5131	44.682	36.4746	48.9487	48.2923	39.0857	49.2197	22.3652	15.6432	53.1999	19.5764	44.4959	45.6793	70.4205
NW_023496900.1	na	37.6384	36.4739	35.5164	33.5404	43.8681	36.3916	40.9551	36.5089	42.0206	32.2815	45.1607	34.2366	40.2904	32.8225	29.7337	35.8183	46.2939	32.3369	42.9233	39.1713	34.9355	40.8193	23.2521	18.5878	44.8318	24.6168	49.3029	47.5117	59.6367
NW_023496894.1	na	34.3399	38.4394	30.5344	33.5089	44.3324	35.6892	42.1887	34.4457	44.2843	35.7448	49.9494	34.5291	44.013	34.1162	29.378	43.3543	39.7362	29.7268	39.0794	39.4865	32.6292	42.3873	21.4422	14.8167	50.6945	20.7941	47.6572	47.3469	62.9997
NW_023496905.1	na	27.1849	29.8665	25.7506	27.1106	36.6995	28.6351	32.7991	28.0746	35.5673	27.4861	39.931	30.1124	33.124	28.0752	25.2804	31.2594	28.3472	24.6327	31.4384	32.0162	26.9844	33.5095	17.9537	12.6506	36.3737	20.3251	43.7123	42.569	47.6864
NW_023496899.1	na	23.6789	18.7976	23.6164	20.608	28.8235	22.0776	23.5487	21.8684	22.6506	20.607	26.6604	19.4828	23.8062	22.2922	17.8385	20.2107	29.7612	20.5414	28.2076	23.7038	24.1175	22.2027	14.8663	12.0237	28.7457	11.2674	37.1453	32.3361	34.0177
NW_023496902.1	na	29.7324	31.3011	25.1842	29.3561	38.0231	23.6518	36.5086	30.5854	47.1987	25.8916	43.4452	33.9559	36.7608	28.2976	27.8074	34.7778	27.2563	22.3654	32.2051	36.8307	31.6045	35.2299	14.254	11.566	24.2826	23.9901	38.8889	27.7865	36.9669
NW_023496904.1	na	32.4098	34.4299	29.1946	29.3445	37.689	32.2451	37.7973	32.0254	42.6989	30.3747	43.8259	31.164	38.572	29.3536	27.1872	34.895	31.2998	28.4796	34.9991	36.0684	30.8322	39.105	18.1617	13.9191	37.9396	21.7806	41.3329	41.9946	49.1503
NW_023496906.1	na	13.7409	10.5149	10.4744	11.8533	16.085	12.6003	14.6004	12.1186	15.0913	8.52948	14.7117	13.1285	7.63799	9.32883	11.127	10.3096	8.3157	6.11754	10.2512	8.13889	7.25311	16.0043	4.85563	3.45221	13.4481	10.378	14.4082	18.946	25.4728
NW_023496898.1	na	30.5734	31.9064	26.0685	29.1112	38.9426	28.5648	37.0594	29.9953	45.0812	28.155	45.0835	33.3449	32.9575	26.8402	27.8688	29.26	26.9382	23.8214	35.2205	34.1708	27.9412	37.2964	13.9313	11.1911	30.8634	20.4297	39.0273	34.5123	45.8713
NW_023496824.1	3R	35.2986	30.2544	33.1149	27.3617	37.4407	30.3791	32.7986	31.6496	35.0363	28.1307	36.334	26.855	33.082	29.9901	23.9622	29.0017	38.0585	28.3564	36.8651	32.8272	29.4356	30.6087	18.6013	12.7354	36.003	14.8578	35.8728	35.6315	43.4408
NW_023496907.1	na	35.7417	41.0662	33.0185	34.64	45.6751	38.1005	43.9204	36.4629	48.0944	35.1342	51.1603	37.0275	45.3083	33.5098	32.7311	41.0801	37.0308	30.914	41.3782	42.2051	34.8138	45.6247	20.1258	14.2942	45.0185	20.7666	44.2346	46.9772	61.8786
