Chr	Contig	Window	Start	End	Length	Number of filtered sites	Number of SNPs
auto	NW_023496816.1	3	1294103	1536105	242003	1700	1448
auto	NW_023496816.1	4	1536106	1801859	265754	1567	1273
auto	NW_023496816.1	5	1801860	1959524	157665	1475	1262
auto	NW_023496816.1	6	1959525	2052462	92938	1646	1362
auto	NW_023496816.1	7	2052463	2310638	258176	1904	1577
auto	NW_023496816.1	8	2310639	2507586	196948	2305	1885
auto	NW_023496816.1	9	2507587	2578890	71304	1884	1509
auto	NW_023496816.1	10	2578891	2675619	96729	1841	1517
auto	NW_023496816.1	11	2675620	2952760	277141	3154	2430
auto	NW_023496816.1	12	2952761	3183214	230454	2747	2247
auto	NW_023496816.1	13	3183215	3257673	74459	1752	1454
auto	NW_023496816.1	14	3257674	3364904	107231	2520	2067
auto	NW_023496810.1	0	1	138338	138338	4605	3541
auto	NW_023496810.1	1	138339	236134	97796	2094	1831
auto	NW_023496810.1	2	236135	349387	113253	3549	2915
auto	NW_023496810.1	3	349388	396807	47420	1972	1687
auto	NW_023496810.1	4	396808	484645	87838	2528	2160
auto	NW_023496810.1	5	484646	614378	129733	2920	2358
auto	NW_023496810.1	6	614379	822094	207716	3187	2534
auto	NW_023496810.1	7	822095	979928	157834	2296	1938
auto	NW_023496810.1	8	979929	1368804	388876	3228	2718
auto	NW_023496810.1	9	1368805	1827574	458770	4268	3331
auto	NW_023496819.1	0	1	394554	394554	2700	2065
auto	NW_023496819.1	1	394555	553863	159309	3030	2353
auto	NW_023496819.1	2	553864	594745	40882	1422	1269
auto	NW_023496819.1	3	594746	746045	151300	1740	1469
auto	NW_023496819.1	4	746046	810914	64869	1774	1495
auto	NW_023496819.1	5	810915	1117105	306191	1628	1379
auto	NW_023496819.1	6	1117106	1129535	12430	1269	1117
auto	NW_023496819.1	7	1129536	1228882	99347	1835	1591
auto	NW_023496819.1	8	1228883	1317616	88734	1496	1343
auto	NW_023496819.1	9	1317617	1538856	221240	2611	2125
auto	NW_023496819.1	10	1538857	1669837	130981	2990	2272
auto	NW_023496819.1	11	1669838	1733492	63655	1806	1509
auto	NW_023496819.1	12	1733493	1801381	67889	1644	1422
auto	NW_023496819.1	13	1801382	1925122	123741	1895	1590
auto	NW_023496819.1	14	1925123	1994579	69457	1519	1305
auto	NW_023496819.1	15	1994580	2265024	270445	2232	1795
auto	NW_023496819.1	16	2265025	2369839	104815	1637	1390
auto	NW_023496819.1	17	2369840	2608897	239058	2072	1735
auto	NW_023496836.1	0	1	833643	833643	3617	2618
auto	NW_023496836.1	1	833644	1198962	365319	2616	1908
auto	NW_023496836.1	2	1198963	1490559	291597	2400	1778
auto	NW_023496836.1	3	1490560	1692473	201914	3353	2502
auto	NW_023496836.1	4	1692474	2195713	503240	2719	2062
auto	NW_023496836.1	5	2195714	2719780	524067	3143	2314
auto	NW_023496836.1	6	2719781	3221909	502129	2708	2123
auto	NW_023496836.1	7	3221910	3421460	199551	3213	2511
auto	NW_023496836.1	8	3421461	3623558	202098	5205	3815
auto	NW_023496836.1	9	3623559	3768417	144859	3060	2389
auto	NW_023496836.1	10	3768418	3932615	164198	2768	2173
auto	NW_023496836.1	11	3932616	4493072	560457	3433	2558
auto	NW_023496817.1	0	1	360104	360104	1759	1423
auto	NW_023496817.1	1	360105	406860	46756	1911	1478
auto	NW_023496817.1	2	406861	551207	144347	1532	1265
auto	NW_023496817.1	3	551208	705128	153921	1443	1247
auto	NW_023496817.1	4	705129	854187	149059	1673	1422
auto	NW_023496817.1	5	854188	1076411	222224	1852	1537
auto	NW_023496817.1	6	1076412	1188227	111816	2266	1818
auto	NW_023496817.1	7	1188228	1345237	157010	2230	1800
auto	NW_023496817.1	8	1345238	1400388	55151	1658	1372
auto	NW_023496817.1	9	1400389	1507462	107074	2131	1771
auto	NW_023496817.1	10	1507463	1856253	348791	1755	1420
auto	NW_023496817.1	11	1856254	1904202	47949	1628	1418
auto	NW_023496817.1	12	1904203	2120097	215895	1681	1397
auto	NW_023496817.1	13	2120098	2277411	157314	1620	1334
auto	NW_023496817.1	14	2277412	2520694	243283	2173	1746
auto	NW_023496817.1	15	2520695	2690859	170165	2321	1799
auto	NW_023496817.1	16	2690860	2735100	44241	2210	1725
auto	NW_023496817.1	17	2735101	2884075	148975	1987	1634
auto	NW_023496817.1	18	2884076	3030548	146473	2749	2171
auto	NW_023496817.1	19	3030549	3136431	105883	2403	1904
auto	NW_023496837.1	0	1	957537	957537	5603	4151
auto	NW_023496837.1	1	957538	1101150	143613	2431	1987
auto	NW_023496837.1	2	1101151	1367254	266104	2547	2091
auto	NW_023496837.1	3	1367255	1695887	328633	2292	1879
auto	NW_023496837.1	4	1695888	1806328	110441	2072	1713
auto	NW_023496837.1	5	1806329	2123642	317314	2107	1778
auto	NW_023496837.1	6	2123643	2201661	78019	2726	2312
auto	NW_023496837.1	7	2201662	2417300	215639	2861	2351
auto	NW_023496837.1	8	2417301	2541540	124240	2511	2090
auto	NW_023496837.1	9	2541541	2676655	135115	2278	1926
auto	NW_023496837.1	10	2676656	2705019	28364	1751	1530
auto	NW_023496837.1	11	2705020	2788613	83594	1820	1612
auto	NW_023496837.1	12	2788614	2856211	67598	1704	1509
auto	NW_023496837.1	13	2856212	3208119	351908	1810	1564
auto	NW_023496837.1	14	3208120	3330918	122799	1537	1366
auto	NW_023496837.1	15	3330919	3597594	266676	2351	1887
auto	NW_023496837.1	16	3597595	3880720	283126	2067	1800
auto	NW_023496837.1	17	3880721	4004066	123346	2022	1694
auto	NW_023496837.1	18	4004067	4089870	85804	1736	1525
auto	NW_023496837.1	19	4089871	4260534	170664	2344	1932
auto	NW_023496837.1	20	4260535	4464349	203815	1503	1303
auto	NW_023496837.1	21	4464350	4623615	159266	2266	1833
auto	NW_023496837.1	22	4623616	4742123	118508	2023	1646
auto	NW_023496835.1	0	1	496891	496891	2019	1619
auto	NW_023496835.1	1	496892	686569	189678	2907	2341
auto	NW_023496835.1	2	686570	789243	102674	2859	2219
auto	NW_023496835.1	3	789244	910540	121297	3162	2425
auto	NW_023496835.1	4	910541	993178	82638	1925	1631
auto	NW_023496835.1	5	993179	1149904	156726	2439	1932
auto	NW_023496835.1	6	1149905	1310164	160260	1668	1380
auto	NW_023496835.1	7	1310165	1445746	135582	1482	1288
auto	NW_023496835.1	8	1445747	1606270	160524	2016	1661
auto	NW_023496835.1	9	1606271	1910027	303757	2387	1913
auto	NW_023496835.1	10	1910028	1967235	57208	1799	1551
auto	NW_023496835.1	11	1967236	2217790	250555	1439	1252
auto	NW_023496835.1	12	2217791	2437568	219778	1865	1606
auto	NW_023496835.1	13	2437569	2715291	277723	1482	1259
auto	NW_023496835.1	14	2715292	2821164	105873	1900	1580
auto	NW_023496835.1	15	2821165	2988716	167552	2525	2081
auto	NW_023496835.1	16	2988717	3218109	229393	2571	2105
auto	NW_023496835.1	17	3218110	3429935	211826	1813	1437
auto	NW_023496835.1	18	3429936	3515140	85205	1751	1451
auto	NW_023496835.1	19	3515141	3836995	321855	1635	1372
auto	NW_023496835.1	20	3836996	3899780	62785	2079	1668
auto	NW_023496835.1	21	3899781	4207717	307937	2230	1806
auto	NW_023496835.1	22	4207718	4250808	43091	1950	1594
auto	NW_023496835.1	23	4250809	4992034	741226	2636	1973
auto	NW_023496835.1	24	4992035	5405964	413930	1354	1164
auto	NW_023496835.1	25	5405965	5657594	251630	1597	1361
auto	NW_023496835.1	26	5657595	5758945	101351	2551	2033
auto	NW_023496835.1	27	5758946	5961472	202527	1959	1560
auto	NW_023496835.1	28	5961473	6036412	74940	2176	1792
auto	NW_023496835.1	29	6036413	6373388	336976	2418	1863
auto	NW_023496835.1	30	6373389	6541190	167802	2035	1644
auto	NW_023496835.1	31	6541191	6587360	46170	1815	1507
auto	NW_023496808.1	0	1	417274	417274	1462	1239
auto	NW_023496808.1	1	417275	577439	160165	1066	960
auto	NW_023496808.1	2	577440	639571	62132	1919	1600
auto	NW_023496808.1	3	639572	786137	146566	2505	1987
auto	NW_023496808.1	4	786138	1008753	222616	3015	2395
auto	NW_023496808.1	5	1008754	1125661	116908	2334	1919
auto	NW_023496808.1	6	1125662	1469486	343825	2454	1986
auto	NW_023496808.1	7	1469487	1587960	118474	1800	1499
auto	NW_023496808.1	8	1587961	1768928	180968	1714	1424
auto	NW_023496808.1	9	1768929	1822744	53816	1631	1369
auto	NW_023496808.1	10	1822745	1954797	132053	1516	1236
auto	NW_023496808.1	11	1954798	2181274	226477	1789	1524
auto	NW_023496808.1	12	2181275	2321110	139836	1711	1481
auto	NW_023496808.1	13	2321111	2391094	69984	1239	1057
auto	NW_023496808.1	14	2391095	2497170	106076	1691	1373
auto	NW_023496808.1	15	2497171	2663510	166340	1562	1352
auto	NW_023496808.1	16	2663511	2771091	107581	2109	1688
auto	NW_023496808.1	17	2771092	2822395	51304	1965	1602
auto	NW_023496808.1	18	2822396	2894467	72072	1963	1582
auto	NW_023496808.1	19	2894468	3000998	106531	2674	2022
auto	NW_023496808.1	20	3000999	3128814	127816	1445	1257
auto	NW_023496808.1	21	3128815	3439101	310287	2591	2015
auto	NW_023496808.1	22	3439102	3503702	64601	3209	2526
auto	NW_023496808.1	23	3503703	3633493	129791	2020	1649
auto	NW_023496808.1	24	3633494	3665707	32214	1277	1086
auto	NW_023496808.1	25	3665708	3870356	204649	1933	1556
auto	NW_023496808.1	26	3870357	3992208	121852	1609	1348
auto	NW_023496808.1	27	3992209	4360167	367959	3281	2483
auto	NW_023496808.1	28	4360168	4501080	140913	2622	2067
auto	NW_023496808.1	29	4501081	4636485	135405	3064	2333
auto	NW_023496808.1	30	4636486	5030396	393911	3307	2468
auto	NW_023496808.1	31	5030397	5257488	227092	2742	2063
auto	NW_023496808.1	32	5257489	5484300	226812	2368	1795
auto	NW_023496808.1	33	5484301	5879266	394966	4129	3109
auto	NW_023496808.1	34	5879267	6011897	132631	4452	3382
auto	NW_023496808.1	35	6011898	6348404	336507	3410	2553
auto	NW_023496808.1	36	6348405	6451324	102920	2651	1975
auto	NW_023496808.1	37	6451325	6828331	377007	4082	2867
auto	NW_023496808.1	38	6828332	7212787	384456	4011	2759
auto	NW_023496807.1	0	1	678024	678024	9062	6164
auto	NW_023496807.1	1	678025	1129360	451336	3863	2883
auto	NW_023496807.1	2	1129361	1287395	158035	2242	1727
auto	NW_023496807.1	3	1287396	1496641	209246	3072	2295
auto	NW_023496807.1	4	1496642	1651271	154630	1863	1541
auto	NW_023496807.1	5	1651272	1819201	167930	1911	1557
auto	NW_023496807.1	6	1819202	2107263	288062	2448	1975
auto	NW_023496807.1	7	2107264	2204370	97107	2364	1943
auto	NW_023496807.1	8	2204371	2396031	191661	2523	2064
auto	NW_023496807.1	9	2396032	2423239	27208	1780	1486
auto	NW_023496807.1	10	2423240	2712510	289271	2110	1813
auto	NW_023496807.1	11	2712511	2783308	70798	1664	1468
auto	NW_023496807.1	12	2783309	2852558	69250	1983	1723
auto	NW_023496807.1	13	2852559	2922636	70078	2007	1704
auto	NW_023496807.1	14	2922637	2987237	64601	1544	1386
auto	NW_023496807.1	15	2987238	3101910	114673	1761	1534
auto	NW_023496807.1	16	3101911	3225354	123444	1456	1304
auto	NW_023496807.1	17	3225355	3340303	114949	1929	1674
auto	NW_023496807.1	18	3340304	3464931	124628	1598	1401
auto	NW_023496807.1	19	3464932	3607057	142126	1796	1568
auto	NW_023496807.1	20	3607058	3729986	122929	2154	1820
auto	NW_023496807.1	21	3729987	3921736	191750	1459	1238
auto	NW_023496807.1	22	3921737	3984818	63082	1605	1371
auto	NW_023496807.1	23	3984819	4052612	67794	1664	1470
auto	NW_023496807.1	24	4052613	4157959	105347	1881	1578
auto	NW_023496807.1	25	4157960	4188290	30331	1288	1172
auto	NW_023496807.1	26	4188291	4238433	50143	1201	1087
auto	NW_023496807.1	27	4238434	4291687	53254	1537	1372
auto	NW_023496807.1	28	4291688	4364400	72713	1554	1301
auto	NW_023496807.1	29	4364401	4641665	277265	2144	1799
auto	NW_023496807.1	30	4641666	4760155	118490	1473	1285
auto	NW_023496807.1	31	4760156	4783189	23034	1214	1072
auto	NW_023496807.1	32	4783190	4852517	69328	1804	1529
auto	NW_023496807.1	33	4852518	4961609	109092	1633	1431
auto	NW_023496807.1	34	4961610	5088973	127364	1078	986
auto	NW_023496807.1	35	5088974	5202682	113709	2203	1801
auto	NW_023496807.1	36	5202683	5315004	112322	1796	1524
auto	NW_023496807.1	37	5315005	5394874	79870	2055	1780
auto	NW_023496807.1	38	5394875	5596688	201814	2872	2287
auto	NW_023496807.1	39	5596689	5789945	193257	1822	1565
auto	NW_023496807.1	40	5789946	5939626	149681	2003	1759
auto	NW_023496807.1	41	5939627	6011379	71753	1981	1684
auto	NW_023496807.1	42	6011380	6221635	210256	1703	1440
auto	NW_023496807.1	43	6221636	6395590	173955	1796	1512
auto	NW_023496807.1	44	6395591	6505315	109725	1175	1052
auto	NW_023496807.1	45	6505316	6532075	26760	1375	1180
auto	NW_023496807.1	46	6532076	6702619	170544	1839	1521
auto	NW_023496807.1	47	6702620	6735599	32980	1441	1260
auto	NW_023496807.1	48	6735600	6930776	195177	1769	1475
auto	NW_023496807.1	49	6930777	7098235	167459	2034	1724
auto	NW_023496807.1	50	7098236	7130669	32434	1016	917
auto	NW_023496807.1	51	7130670	7291846	161177	1892	1572
auto	NW_023496807.1	52	7291847	7520518	228672	1782	1479
auto	NW_023496807.1	53	7520519	7582153	61635	1132	1036
auto	NW_023496807.1	54	7582154	7652189	70036	1837	1521
auto	NW_023496807.1	55	7652190	7763108	110919	2199	1884
auto	NW_023496807.1	56	7763109	7820105	56997	1055	947
auto	NW_023496807.1	57	7820106	7851305	31200	1004	902
auto	NW_023496807.1	58	7851306	8040592	189287	1265	1125
auto	NW_023496807.1	59	8040593	8204743	164151	1640	1401
auto	NW_023496807.1	60	8204744	8307610	102867	1929	1590
auto	NW_023496807.1	61	8307611	8360477	52867	1936	1583
auto	NW_023496807.1	62	8360478	8420593	60116	1773	1463
auto	NW_023496807.1	63	8420594	8553930	133337	1464	1238
auto	NW_023496807.1	64	8553931	8828959	275029	1470	1286
auto	NW_023496807.1	65	8828960	9001311	172352	2519	2012
auto	NW_023496807.1	66	9001312	9128745	127434	1669	1378
auto	NW_023496807.1	67	9128746	9166232	37487	2316	1842
auto	NW_023496807.1	68	9166233	9275032	108800	1729	1423
auto	NW_023496807.1	69	9275033	9385866	110834	1890	1558
auto	NW_023496807.1	70	9385867	9486691	100825	2824	2149
auto	NW_023496807.1	71	9486692	9650246	163555	1370	1224
auto	NW_023496807.1	72	9650247	9854377	204131	2250	1870
auto	NW_023496807.1	73	9854378	9946899	92522	1952	1614
auto	NW_023496807.1	74	9946900	10236585	289686	1790	1456
auto	NW_023496807.1	75	10236586	10537168	300583	1771	1461
auto	NW_023496807.1	76	10537169	10750545	213377	2556	2097
auto	NW_023496807.1	77	10750546	10895402	144857	2380	1919
auto	NW_023496807.1	78	10895403	10963493	68091	1582	1376
auto	NW_023496807.1	79	10963494	11119417	155924	1724	1476
auto	NW_023496807.1	80	11119418	11234406	114989	1464	1284
auto	NW_023496807.1	81	11234407	11299369	64963	1601	1393
auto	NW_023496807.1	82	11299370	11656175	356806	1710	1473
auto	NW_023496807.1	83	11656176	11714115	57940	1594	1352
auto	NW_023496807.1	84	11714116	11767187	53072	2365	1881
auto	NW_023496807.1	85	11767188	11820311	53124	1660	1393
auto	NW_023496807.1	86	11820312	11886816	66505	2270	1852
auto	NW_023496807.1	87	11886817	11969207	82391	2098	1734
auto	NW_023496807.1	88	11969208	12063126	93919	2229	1765
auto	NW_023496807.1	89	12063127	12222359	159233	1372	1225
auto	NW_023496807.1	90	12222360	12527579	305220	2375	1930
auto	NW_023496807.1	91	12527580	12638485	110906	1737	1456
auto	NW_023496807.1	92	12638486	12740921	102436	1649	1403
auto	NW_023496807.1	93	12740922	13007196	266275	1893	1571
auto	NW_023496807.1	94	13007197	13080769	73573	2394	1887
auto	NW_023496807.1	95	13080770	13220511	139742	2068	1699
auto	NW_023496807.1	96	13220512	13330158	109647	1569	1340
auto	NW_023496807.1	97	13330159	13478404	148246	1833	1570
auto	NW_023496807.1	98	13478405	13514508	36104	1272	1153
auto	NW_023496807.1	99	13514509	13590998	76490	1224	1097
auto	NW_023496807.1	100	13590999	13636861	45863	1269	1136
auto	NW_023496807.1	101	13636862	13763302	126441	1733	1450
auto	NW_023496807.1	102	13763303	13963352	200050	2053	1659
auto	NW_023496807.1	103	13963353	14104376	141024	1212	1096
auto	NW_023496807.1	104	14104377	14126912	22536	1280	1132
auto	NW_023496807.1	105	14126913	14221376	94464	1436	1248
auto	NW_023496807.1	106	14221377	14249836	28460	1390	1185
auto	NW_023496807.1	107	14249837	14302922	53086	1344	1179
auto	NW_023496807.1	108	14302923	14349598	46676	1517	1295
auto	NW_023496807.1	109	14349599	14399625	50027	1424	1223
auto	NW_023496807.1	110	14399626	14639972	240347	1566	1362
auto	NW_023496812.1	0	1	202447	202447	1121	1040
auto	NW_023496812.1	1	202448	242139	39692	1700	1513
auto	NW_023496812.1	2	242140	393338	151199	1715	1492
auto	NW_023496812.1	3	393339	485136	91798	1837	1588
auto	NW_023496812.1	4	485137	664684	179548	2297	1957
auto	NW_023496812.1	5	664685	1001159	336475	2547	2114
auto	NW_023496812.1	6	1001160	1153447	152288	2391	2042
auto	NW_023496812.1	7	1153448	1440784	287337	1598	1423
auto	NW_023496812.1	8	1440785	1614937	174153	2658	2142
auto	NW_023496812.1	9	1614938	1762770	147833	1465	1333
auto	NW_023496812.1	10	1762771	1925005	162235	2036	1729
auto	NW_023496812.1	11	1925006	2055146	130141	2280	1941
auto	NW_023496812.1	12	2055147	2128016	72870	1246	1122
auto	NW_023496812.1	13	2128017	2223114	95098	1653	1472
auto	NW_023496812.1	14	2223115	2450954	227840	1828	1588
auto	NW_023496812.1	15	2450955	2539561	88607	1982	1703
auto	NW_023496812.1	16	2539562	2654516	114955	1673	1442
auto	NW_023496812.1	17	2654517	2979508	324992	1558	1423
auto	NW_023496812.1	18	2979509	2995084	15576	1137	1060
auto	NW_023496812.1	19	2995085	3015305	20221	1210	1111
auto	NW_023496812.1	20	3015306	3045940	30635	1685	1513
auto	NW_023496812.1	21	3045941	3170632	124692	1950	1669
auto	NW_023496812.1	22	3170633	3344302	173670	1720	1487
auto	NW_023496812.1	23	3344303	3406786	62484	1420	1286
auto	NW_023496812.1	24	3406787	3513405	106619	1081	1009
auto	NW_023496812.1	25	3513406	3783766	270361	1679	1497
auto	NW_023496812.1	26	3783767	3820729	36963	1336	1217
auto	NW_023496812.1	27	3820730	3877467	56738	1247	1143
auto	NW_023496812.1	28	3877468	4121080	243613	1254	1118
auto	NW_023496812.1	29	4121081	4356681	235601	1789	1540
auto	NW_023496812.1	30	4356682	4507946	151265	1387	1234
auto	NW_023496812.1	31	4507947	4838894	330948	1693	1476
auto	NW_023496812.1	32	4838895	4909245	70351	1418	1268
auto	NW_023496812.1	33	4909246	5037916	128671	1954	1661
auto	NW_023496812.1	34	5037917	5447768	409852	1571	1375
auto	NW_023496812.1	35	5447769	5794618	346850	1750	1479
auto	NW_023496812.1	36	5794619	5922444	127826	1325	1178
auto	NW_023496812.1	37	5922445	6429071	506627	1868	1602
auto	NW_023496812.1	38	6429072	6809831	380760	2039	1749
auto	NW_023496812.1	39	6809832	7038585	228754	1620	1393
auto	NW_023496812.1	40	7038586	7092225	53640	1627	1445
auto	NW_023496812.1	41	7092226	7229494	137269	1809	1566
auto	NW_023496812.1	42	7229495	7288724	59230	1655	1467
auto	NW_023496812.1	43	7288725	7358884	70160	1377	1273
auto	NW_023496812.1	44	7358885	7503810	144926	1581	1412
auto	NW_023496812.1	45	7503811	7584046	80236	2029	1732
auto	NW_023496812.1	46	7584047	7852763	268717	1387	1244
auto	NW_023496812.1	47	7852764	8017624	164861	2158	1800
auto	NW_023496812.1	48	8017625	8061296	43672	1548	1380
auto	NW_023496812.1	49	8061297	8101250	39954	1054	958
auto	NW_023496812.1	50	8101251	8389496	288246	1452	1353
auto	NW_023496812.1	51	8389497	8540749	151253	1587	1374
auto	NW_023496812.1	52	8540750	8545081	4332	697	667
auto	NW_023496812.1	53	8545082	8613358	68277	1481	1349
auto	NW_023496812.1	54	8613359	8734070	120712	2172	1809
auto	NW_023496812.1	55	8734071	8883532	149462	2295	1929
auto	NW_023496812.1	56	8883533	8974628	91096	2401	1963
auto	NW_023496812.1	57	8974629	9162005	187377	1337	1202
auto	NW_023496812.1	58	9162006	9218003	55998	1701	1483
auto	NW_023496812.1	59	9218004	9453536	235533	1956	1695
auto	NW_023496812.1	60	9453537	9821121	367585	1481	1339
auto	NW_023496812.1	61	9821122	10027750	206629	1516	1336
auto	NW_023496812.1	62	10027751	10042057	14307	1237	1102
auto	NW_023496812.1	63	10042058	10054812	12755	1401	1272
auto	NW_023496812.1	64	10054813	10259047	204235	1618	1478
auto	NW_023496812.1	65	10259048	10429909	170862	2717	2222
auto	NW_023496812.1	66	10429910	10586682	156773	3589	2760
auto	NW_023496812.1	67	10586683	10659041	72359	1850	1624
auto	NW_023496812.1	68	10659042	10679272	20231	1611	1451
auto	NW_023496812.1	69	10679273	10963885	284613	1962	1694
auto	NW_023496812.1	70	10963886	11311474	347589	2185	1816
auto	NW_023496812.1	71	11311475	11447996	136522	1622	1457
auto	NW_023496812.1	72	11447997	11465448	17452	1227	1113
auto	NW_023496812.1	73	11465449	11546275	80827	1555	1395
auto	NW_023496812.1	74	11546276	11624741	78466	1746	1588
auto	NW_023496812.1	75	11624742	11674091	49350	1436	1298
auto	NW_023496812.1	76	11674092	11737797	63706	1626	1426
auto	NW_023496812.1	77	11737798	11856290	118493	2031	1694
auto	NW_023496812.1	78	11856291	11988586	132296	2048	1738
auto	NW_023496812.1	79	11988587	12157807	169221	1682	1425
auto	NW_023496812.1	80	12157808	12226152	68345	1773	1534
auto	NW_023496812.1	81	12226153	12324271	98119	1942	1665
auto	NW_023496812.1	82	12324272	12454231	129960	2231	1940
auto	NW_023496812.1	83	12454232	12562381	108150	1575	1423
auto	NW_023496812.1	84	12562382	12806728	244347	2238	1901
auto	NW_023496812.1	85	12806729	12920051	113323	1964	1648
auto	NW_023496812.1	86	12920052	12993988	73937	1729	1464
auto	NW_023496812.1	87	12993989	13133701	139713	2277	1918
auto	NW_023496812.1	88	13133702	13473566	339865	1941	1717
auto	NW_023496812.1	89	13473567	13614154	140588	2506	2104
auto	NW_023496812.1	90	13614155	13718705	104551	1340	1238
auto	NW_023496812.1	91	13718706	13848218	129513	1670	1498
auto	NW_023496812.1	92	13848219	13984866	136648	2785	2390
auto	NW_023496812.1	93	13984867	14171064	186198	2648	2278
auto	NW_023496812.1	94	14171065	14240379	69315	1912	1639
auto	NW_023496812.1	95	14240380	14323868	83489	1440	1295
auto	NW_023496812.1	96	14323869	14483969	160101	1725	1453
auto	NW_023496812.1	97	14483970	14615392	131423	1820	1524
auto	NW_023496812.1	98	14615393	14742469	127077	2447	1979
auto	NW_023496812.1	99	14742470	14772002	29533	1316	1165
auto	NW_023496812.1	100	14772003	14948275	176273	1723	1495
auto	NW_023496812.1	101	14948276	15088997	140722	1908	1676
auto	NW_023496812.1	102	15088998	15310472	221475	1972	1681
auto	NW_023496812.1	103	15310473	15394215	83743	2174	1739
auto	NW_023496812.1	104	15394216	15665263	271048	3157	2388
auto	NW_023496812.1	105	15665264	16184328	519065	2473	1975
auto	NW_023496812.1	106	16184329	16429979	245651	2394	1959
auto	NW_023496812.1	107	16429980	16642618	212639	1889	1594
auto	NW_023496812.1	108	16642619	17036009	393391	1640	1403
auto	NW_023496812.1	109	17036010	17259009	223000	1854	1605
auto	NW_023496812.1	110	17259010	17365254	106245	1549	1354
auto	NW_023496812.1	111	17365255	17421939	56685	1718	1359
auto	NW_023496812.1	112	17421940	17525642	103703	1674	1343
auto	NW_023496812.1	113	17525643	17746455	220813	1915	1609
auto	NW_023496812.1	114	17746456	17999671	253216	1794	1505
auto	NW_023496812.1	115	17999672	18119878	120207	2345	1964
auto	NW_023496812.1	116	18119879	18335650	215772	2822	2362
auto	NW_023496812.1	117	18335651	18583397	247747	1354	1226
auto	NW_023496812.1	118	18583398	18786515	203118	1571	1399
auto	NW_023496812.1	119	18786516	18915978	129463	1887	1539
auto	NW_023496812.1	120	18915979	18935645	19667	1641	1370
auto	NW_023496812.1	121	18935646	19054272	118627	1795	1548
auto	NW_023496812.1	122	19054273	19163449	109177	2711	2284
auto	NW_023496812.1	123	19163450	19491025	327576	2396	1950
auto	NW_023496812.1	124	19491026	19593507	102482	1779	1515
auto	NW_023496812.1	125	19593508	20053153	459646	2828	2217
auto	NW_023496812.1	126	20053154	20369038	315885	2737	2174
auto	NW_023496812.1	127	20369039	20433923	64885	2207	1780
auto	NW_023496812.1	128	20433924	20703290	269367	2783	2240
auto	NW_023496812.1	129	20703291	21594565	891275	2785	2000
auto	NW_023496812.1	130	21594566	21883109	288544	2911	2198
auto	NW_023496812.1	131	21883110	22159385	276276	4000	2992
auto	NW_023496812.1	132	22159386	22797273	637888	4817	3290
auto	NW_023496800.1	0	1	1370436	1370436	7177	4828
auto	NW_023496800.1	1	1370437	1701900	331464	5043	3669
auto	NW_023496800.1	2	1701901	2238377	536477	3332	2525
auto	NW_023496800.1	3	2238378	3081254	842877	2826	2261
auto	NW_023496800.1	4	3081255	3149997	68743	1903	1613
auto	NW_023496800.1	5	3149998	3406984	256987	2714	2219
auto	NW_023496800.1	6	3406985	3773598	366614	2753	2140
