# Assembly name:  LBDM_Dsuz_2.1.pri
# Organism name:  Drosophila suzukii (flies)
# Infraspecific name:  strain=WT3_2.0
# Taxid:          28584
# BioSample:      SAMN13521054
# BioProject:     PRJNA594550
# Submitter:      Institut de Biologie du Developpement de Marseille
# Date:           2020-06-15
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WWNF01
# Assembly method: FALCON v. 2.3.0; CANU v. 1.3; Quickmerge v. 2017/03/15
# Expected final version: yes
# Genome coverage: 160.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_013340165.1
# RefSeq assembly accession: GCF_013340165.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_013340185.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013340175.1	GCF_013340175.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig_17	assembled-molecule	4	Chromosome	CM023447.1	=	NC_050699.1	Primary Assembly	2568912	na
Contig_188	unplaced-scaffold	na	na	WWNF01000155.1	=	NW_023496906.1	Primary Assembly	195612	na
Contig_190	unplaced-scaffold	na	na	WWNF01000156.1	=	NW_023496907.1	Primary Assembly	192127	na
Contig_192	unplaced-scaffold	na	na	WWNF01000158.1	=	NW_023496908.1	Primary Assembly	184890	na
Contig_193	unplaced-scaffold	na	na	WWNF01000159.1	=	NW_023496909.1	Primary Assembly	183359	na
Contig_194	unplaced-scaffold	na	na	WWNF01000160.1	=	NW_023496910.1	Primary Assembly	183327	na
Contig_195	unplaced-scaffold	na	na	WWNF01000161.1	=	NW_023496911.1	Primary Assembly	182746	na
Contig_196	unplaced-scaffold	na	na	WWNF01000162.1	=	NW_023496912.1	Primary Assembly	182104	na
Contig_197	unplaced-scaffold	na	na	WWNF01000163.1	=	NW_023496913.1	Primary Assembly	180337	na
Contig_198	unplaced-scaffold	na	na	WWNF01000164.1	=	NW_023496914.1	Primary Assembly	179478	na
Contig_20	unplaced-scaffold	na	na	WWNF01000020.1	=	NW_023496915.1	Primary Assembly	2189345	na
Contig_202	unplaced-scaffold	na	na	WWNF01000166.1	=	NW_023496916.1	Primary Assembly	169884	na
Contig_205	unplaced-scaffold	na	na	WWNF01000168.1	=	NW_023496917.1	Primary Assembly	165103	na
Contig_206	unplaced-scaffold	na	na	WWNF01000169.1	=	NW_023496918.1	Primary Assembly	164727	na
Contig_207	unplaced-scaffold	na	na	WWNF01000170.1	=	NW_023496919.1	Primary Assembly	164760	na
Contig_208	unplaced-scaffold	na	na	WWNF01000171.1	=	NW_023496920.1	Primary Assembly	162404	na
Contig_21	unplaced-scaffold	na	na	WWNF01000021.1	=	NW_023496921.1	Primary Assembly	2102032	na
Contig_210	unplaced-scaffold	na	na	WWNF01000172.1	=	NW_023496922.1	Primary Assembly	161895	na
Contig_211	unplaced-scaffold	na	na	WWNF01000173.1	=	NW_023496923.1	Primary Assembly	160870	na
Contig_214	unplaced-scaffold	na	na	WWNF01000174.1	=	NW_023496924.1	Primary Assembly	158616	na
Contig_216	unplaced-scaffold	na	na	WWNF01000175.1	=	NW_023496925.1	Primary Assembly	157329	na
Contig_217	unplaced-scaffold	na	na	WWNF01000176.1	=	NW_023496926.1	Primary Assembly	155874	na
Contig_220	unplaced-scaffold	na	na	WWNF01000177.1	=	NW_023496927.1	Primary Assembly	152091	na
Contig_221	unplaced-scaffold	na	na	WWNF01000178.1	=	NW_023496928.1	Primary Assembly	150964	na
Contig_223	unplaced-scaffold	na	na	WWNF01000180.1	=	NW_023496929.1	Primary Assembly	149259	na
Contig_224	unplaced-scaffold	na	na	WWNF01000181.1	=	NW_023496930.1	Primary Assembly	147771	na
Contig_225	unplaced-scaffold	na	na	WWNF01000182.1	=	NW_023496931.1	Primary Assembly	142336	na
Contig_226	unplaced-scaffold	na	na	WWNF01000183.1	=	NW_023496932.1	Primary Assembly	139034	na
Contig_227	unplaced-scaffold	na	na	WWNF01000184.1	=	NW_023496933.1	Primary Assembly	139067	na
Contig_229	unplaced-scaffold	na	na	WWNF01000185.1	=	NW_023496934.1	Primary Assembly	137599	na
Contig_23	unplaced-scaffold	na	na	WWNF01000023.1	=	NW_023496935.1	Primary Assembly	1989432	na
Contig_230	unplaced-scaffold	na	na	WWNF01000186.1	=	NW_023496936.1	Primary Assembly	136256	na
Contig_231	unplaced-scaffold	na	na	WWNF01000187.1	=	NW_023496937.1	Primary Assembly	135421	na
Contig_232	unplaced-scaffold	na	na	WWNF01000188.1	=	NW_023496938.1	Primary Assembly	135236	na
Contig_233	unplaced-scaffold	na	na	WWNF01000189.1	=	NW_023496939.1	Primary Assembly	133572	na
Contig_234	unplaced-scaffold	na	na	WWNF01000190.1	=	NW_023496940.1	Primary Assembly	132099	na
Contig_235	unplaced-scaffold	na	na	WWNF01000191.1	=	NW_023496941.1	Primary Assembly	132139	na
Contig_238	unplaced-scaffold	na	na	WWNF01000193.1	=	NW_023496942.1	Primary Assembly	126352	na
Contig_239	unplaced-scaffold	na	na	WWNF01000194.1	=	NW_023496943.1	Primary Assembly	125331	na
Contig_24	unplaced-scaffold	na	na	WWNF01000024.1	=	NW_023496944.1	Primary Assembly	1921331	na
Contig_241	unplaced-scaffold	na	na	WWNF01000195.1	=	NW_023496945.1	Primary Assembly	122341	na
Contig_242	unplaced-scaffold	na	na	WWNF01000196.1	=	NW_023496946.1	Primary Assembly	121135	na
Contig_243	unplaced-scaffold	na	na	WWNF01000197.1	=	NW_023496947.1	Primary Assembly	119861	na
Contig_244	unplaced-scaffold	na	na	WWNF01000198.1	=	NW_023496948.1	Primary Assembly	119245	na
Contig_245	unplaced-scaffold	na	na	WWNF01000199.1	=	NW_023496949.1	Primary Assembly	118101	na
Contig_246	unplaced-scaffold	na	na	WWNF01000200.1	=	NW_023496950.1	Primary Assembly	118002	na
Contig_247	unplaced-scaffold	na	na	WWNF01000201.1	=	NW_023496951.1	Primary Assembly	116733	na
Contig_248	unplaced-scaffold	na	na	WWNF01000202.1	=	NW_023496952.1	Primary Assembly	116776	na
Contig_249	unplaced-scaffold	na	na	WWNF01000203.1	=	NW_023496953.1	Primary Assembly	115906	na
Contig_25	unplaced-scaffold	na	na	WWNF01000025.1	=	NW_023496954.1	Primary Assembly	1895205	na
Contig_250	unplaced-scaffold	na	na	WWNF01000204.1	=	NW_023496955.1	Primary Assembly	116131	na
Contig_251	unplaced-scaffold	na	na	WWNF01000205.1	=	NW_023496956.1	Primary Assembly	115237	na
Contig_252	unplaced-scaffold	na	na	WWNF01000206.1	=	NW_023496957.1	Primary Assembly	111890	na
Contig_253	unplaced-scaffold	na	na	WWNF01000207.1	=	NW_023496958.1	Primary Assembly	111141	na
Contig_255	unplaced-scaffold	na	na	WWNF01000208.1	=	NW_023496959.1	Primary Assembly	109977	na
Contig_256	unplaced-scaffold	na	na	WWNF01000209.1	=	NW_023496960.1	Primary Assembly	109070	na
Contig_257	unplaced-scaffold	na	na	WWNF01000210.1	=	NW_023496961.1	Primary Assembly	107124	na
Contig_258	unplaced-scaffold	na	na	WWNF01000211.1	=	NW_023496962.1	Primary Assembly	107038	na
Contig_259	unplaced-scaffold	na	na	WWNF01000212.1	=	NW_023496963.1	Primary Assembly	105721	na
Contig_26	unplaced-scaffold	na	na	WWNF01000026.1	=	NW_023496964.1	Primary Assembly	1843208	na
Contig_262	unplaced-scaffold	na	na	WWNF01000214.1	=	NW_023496965.1	Primary Assembly	100408	na
Contig_263	unplaced-scaffold	na	na	WWNF01000215.1	=	NW_023496966.1	Primary Assembly	99821	na
Contig_265	unplaced-scaffold	na	na	WWNF01000216.1	=	NW_023496967.1	Primary Assembly	96613	na
Contig_266	unplaced-scaffold	na	na	WWNF01000217.1	=	NW_023496968.1	Primary Assembly	95581	na
Contig_267	unplaced-scaffold	na	na	WWNF01000218.1	=	NW_023496969.1	Primary Assembly	95761	na
Contig_268	unplaced-scaffold	na	na	WWNF01000219.1	=	NW_023496970.1	Primary Assembly	94686	na
Contig_269	unplaced-scaffold	na	na	WWNF01000220.1	=	NW_023496971.1	Primary Assembly	94865	na
Contig_270	unplaced-scaffold	na	na	WWNF01000221.1	=	NW_023496972.1	Primary Assembly	94502	na
Contig_272	unplaced-scaffold	na	na	WWNF01000222.1	=	NW_023496973.1	Primary Assembly	95602	na
Contig_273	unplaced-scaffold	na	na	WWNF01000223.1	=	NW_023496974.1	Primary Assembly	92704	na
Contig_277	unplaced-scaffold	na	na	WWNF01000225.1	=	NW_023496975.1	Primary Assembly	90352	na
Contig_278	unplaced-scaffold	na	na	WWNF01000226.1	=	NW_023496976.1	Primary Assembly	89947	na
Contig_279	unplaced-scaffold	na	na	WWNF01000227.1	=	NW_023496977.1	Primary Assembly	89854	na
Contig_28	unplaced-scaffold	na	na	WWNF01000028.1	=	NW_023496978.1	Primary Assembly	1725180	na
Contig_280	unplaced-scaffold	na	na	WWNF01000228.1	=	NW_023496979.1	Primary Assembly	88839	na
Contig_281	unplaced-scaffold	na	na	WWNF01000229.1	=	NW_023496980.1	Primary Assembly	88000	na
Contig_282	unplaced-scaffold	na	na	WWNF01000230.1	=	NW_023496981.1	Primary Assembly	87555	na
Contig_283	unplaced-scaffold	na	na	WWNF01000231.1	=	NW_023496982.1	Primary Assembly	86740	na
Contig_284	unplaced-scaffold	na	na	WWNF01000232.1	=	NW_023496983.1	Primary Assembly	86506	na
Contig_286	unplaced-scaffold	na	na	WWNF01000234.1	=	NW_023496984.1	Primary Assembly	86588	na
Contig_287	unplaced-scaffold	na	na	WWNF01000235.1	=	NW_023496985.1	Primary Assembly	86498	na
Contig_288	unplaced-scaffold	na	na	WWNF01000236.1	=	NW_023496986.1	Primary Assembly	84291	na
Contig_29	unplaced-scaffold	na	na	WWNF01000029.1	=	NW_023496987.1	Primary Assembly	1721663	na
Contig_292	unplaced-scaffold	na	na	WWNF01000238.1	=	NW_023496988.1	Primary Assembly	82488	na
Contig_293	unplaced-scaffold	na	na	WWNF01000239.1	=	NW_023496989.1	Primary Assembly	83203	na
Contig_294	unplaced-scaffold	na	na	WWNF01000240.1	=	NW_023496990.1	Primary Assembly	82108	na
Contig_296	unplaced-scaffold	na	na	WWNF01000241.1	=	NW_023496991.1	Primary Assembly	80738	na
Contig_297	unplaced-scaffold	na	na	WWNF01000242.1	=	NW_023496992.1	Primary Assembly	81103	na
Contig_298	unplaced-scaffold	na	na	WWNF01000243.1	=	NW_023496993.1	Primary Assembly	81349	na
Contig_299	unplaced-scaffold	na	na	WWNF01000244.1	=	NW_023496994.1	Primary Assembly	80801	na
Contig_30	unplaced-scaffold	na	na	WWNF01000030.1	=	NW_023496995.1	Primary Assembly	1697326	na
Contig_300	unplaced-scaffold	na	na	WWNF01000245.1	=	NW_023496996.1	Primary Assembly	79422	na
Contig_302	unplaced-scaffold	na	na	WWNF01000246.1	=	NW_023496997.1	Primary Assembly	78419	na
Contig_303	unplaced-scaffold	na	na	WWNF01000247.1	=	NW_023496998.1	Primary Assembly	78459	na
Contig_304	unplaced-scaffold	na	na	WWNF01000248.1	=	NW_023496999.1	Primary Assembly	77903	na
Contig_305	unplaced-scaffold	na	na	WWNF01000249.1	=	NW_023497000.1	Primary Assembly	77100	na
Contig_306	unplaced-scaffold	na	na	WWNF01000250.1	=	NW_023497001.1	Primary Assembly	76922	na
Contig_307	unplaced-scaffold	na	na	WWNF01000251.1	=	NW_023497002.1	Primary Assembly	76399	na
Contig_308	unplaced-scaffold	na	na	WWNF01000252.1	=	NW_023497003.1	Primary Assembly	76305	na
Contig_309	unplaced-scaffold	na	na	WWNF01000253.1	=	NW_023497004.1	Primary Assembly	75976	na
Contig_31	unplaced-scaffold	na	na	WWNF01000031.1	=	NW_023497005.1	Primary Assembly	1700514	na
Contig_310	unplaced-scaffold	na	na	WWNF01000254.1	=	NW_023497006.1	Primary Assembly	75977	na
Contig_311	unplaced-scaffold	na	na	WWNF01000255.1	=	NW_023497007.1	Primary Assembly	75354	na
Contig_312	unplaced-scaffold	na	na	WWNF01000256.1	=	NW_023497008.1	Primary Assembly	75206	na
Contig_313	unplaced-scaffold	na	na	WWNF01000257.1	=	NW_023497009.1	Primary Assembly	74650	na
Contig_314	unplaced-scaffold	na	na	WWNF01000258.1	=	NW_023497010.1	Primary Assembly	74759	na
Contig_315	unplaced-scaffold	na	na	WWNF01000259.1	=	NW_023497011.1	Primary Assembly	73971	na
Contig_316	unplaced-scaffold	na	na	WWNF01000260.1	=	NW_023497012.1	Primary Assembly	73653	na
Contig_318	unplaced-scaffold	na	na	WWNF01000261.1	=	NW_023497013.1	Primary Assembly	72527	na
Contig_319	unplaced-scaffold	na	na	WWNF01000262.1	=	NW_023497014.1	Primary Assembly	71422	na
Contig_32	unplaced-scaffold	na	na	WWNF01000032.1	=	NW_023497015.1	Primary Assembly	1669125	na
Contig_320	unplaced-scaffold	na	na	WWNF01000263.1	=	NW_023497016.1	Primary Assembly	69601	na
Contig_321	unplaced-scaffold	na	na	WWNF01000264.1	=	NW_023497017.1	Primary Assembly	69629	na
Contig_323	unplaced-scaffold	na	na	WWNF01000265.1	=	NW_023497018.1	Primary Assembly	68211	na
Contig_324	unplaced-scaffold	na	na	WWNF01000266.1	=	NW_023497019.1	Primary Assembly	66830	na
Contig_325	unplaced-scaffold	na	na	WWNF01000267.1	=	NW_023497020.1	Primary Assembly	66536	na
Contig_326	unplaced-scaffold	na	na	WWNF01000268.1	=	NW_023497021.1	Primary Assembly	66493	na
Contig_327	unplaced-scaffold	na	na	WWNF01000269.1	=	NW_023497022.1	Primary Assembly	66112	na
Contig_328	unplaced-scaffold	na	na	WWNF01000270.1	=	NW_023497023.1	Primary Assembly	66104	na
Contig_330	unplaced-scaffold	na	na	WWNF01000271.1	=	NW_023497024.1	Primary Assembly	65150	na
Contig_332	unplaced-scaffold	na	na	WWNF01000272.1	=	NW_023497025.1	Primary Assembly	64373	na
